Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC (AP)
Dummy,0.9083798882681564,0.0,0.0,0.0,0.5,0.09162011173184358
Baseline Logistic Regression,0.9695530726256983,0.7844155844155845,0.9207317073170732,0.847124824684432,0.9727362898628988,0.9337424400833467
